step,op,left,right,value
180,S,179,179,2993155353253689176481146537365168692392392686305280
181,S,180,180,5986310706507378352962293074730337384784785372610560
182,S,181,181,11972621413014756705924586149460674769569570745221120
183,S,182,182,23945242826029513411849172298921349539139141490442240
184,S,183,183,47890485652059026823698344597842699078278282980884480
185,S,184,184,95780971304118053647396689195685398156556565961768960
186,S,185,185,191561942608236107294793378391370796313113131923537920
187,S,186,186,383123885216472214589586756782741592626226263847075840
188,S,187,187,766247770432944429179173513565483185252452527694151680
189,S,188,188,1532495540865888858358347027130966370504905055388303360
190,S,189,189,3064991081731777716716694054261932741009810110776606720
191,S,190,190,6129982163463555433433388108523865482019620221553213440
192,S,191,191,12259964326927110866866776217047730964039240443106426880
193,S,192,192,24519928653854221733733552434095461928078480886212853760
194,S,193,193,49039857307708443467467104868190923856156961772425707520
195,S,194,194,98079714615416886934934209736381847712313923544851415040
196,S,195,195,196159429230833773869868419472763695424627847089702830080
197,S,196,196,392318858461667547739736838945527390849255694179405660160
198,S,197,197,784637716923335095479473677891054781698511388358811320320
199,S,198,198,1569275433846670190958947355782109563397022776717622640640
200,S,199,199,3138550867693340381917894711564219126794045553435245281280
201,S,200,200,6277101735386680763835789423128438253588091106870490562560
202,M,201,105,6277101735386680763835789423207666416102355444464034512895
203,S,202,202,12554203470773361527671578846415332832204710888928069025790
204,S,203,203,25108406941546723055343157692830665664409421777856138051580
205,S,204,204,50216813883093446110686315385661331328818843555712276103160
206,S,205,205,100433627766186892221372630771322662657637687111424552206320
207,S,206,206,200867255532373784442745261542645325315275374222849104412640
208,S,207,207,401734511064747568885490523085290650630550748445698208825280
209,M,208,0,401734511064747568885490523085290650630550748445698208825281
210,S,209,209,803469022129495137770981046170581301261101496891396417650562
211,S,210,210,1606938044258990275541962092341162602522202993782792835301124
212,S,211,211,3213876088517980551083924184682325205044405987565585670602248
213,S,212,212,6427752177035961102167848369364650410088811975131171341204496
214,S,213,213,12855504354071922204335696738729300820177623950262342682408992
215,M,214,13,12855504354071922204335696738729300820177623950262342682410555
216,S,215,215,25711008708143844408671393477458601640355247900524685364821110
217,S,216,216,51422017416287688817342786954917203280710495801049370729642220
218,S,217,217,102844034832575377634685573909834406561420991602098741459284440
219,S,218,218,205688069665150755269371147819668813122841983204197482918568880
220,S,219,219,411376139330301510538742295639337626245683966408394965837137760
221,S,220,220,822752278660603021077484591278675252491367932816789931674275520
222,S,221,221,1645504557321206042154969182557350504982735865633579863348551040
223,S,222,222,3291009114642412084309938365114701009965471731267159726697102080
224,S,223,223,6582018229284824168619876730229402019930943462534319453394204160
225,S,224,224,13164036458569648337239753460458804039861886925068638906788408320
226,S,225,225,26328072917139296674479506920917608079723773850137277813576816640
227,S,226,226,52656145834278593348959013841835216159447547700274555627153633280
228,S,227,227,105312291668557186697918027683670432318895095400549111254307266560
229,S,228,228,210624583337114373395836055367340864637790190801098222508614533120
230,M,229,13,210624583337114373395836055367340864637790190801098222508614534683
231,S,230,230,421249166674228746791672110734681729275580381602196445017229069366
232,S,231,231,842498333348457493583344221469363458551160763204392890034458138732
233,S,232,232,1684996666696914987166688442938726917102321526408785780068916277464
234,S,233,233,3369993333393829974333376885877453834204643052817571560137832554928
235,S,234,234,6739986666787659948666753771754907668409286105635143120275665109856
236,M,235,18,6739986666787659948666753771754907668409286105635143120275665113951
237,S,236,236,13479973333575319897333507543509815336818572211270286240551330227902
238,S,237,237,26959946667150639794667015087019630673637144422540572481102660455804
239,S,238,238,53919893334301279589334030174039261347274288845081144962205320911608
240,S,239,239,107839786668602559178668060348078522694548577690162289924410641823216
241,S,240,240,215679573337205118357336120696157045389097155380324579848821283646432
242,S,241,241,431359146674410236714672241392314090778194310760649159697642567292864
243,S,242,242,862718293348820473429344482784628181556388621521298319395285134585728
244,S,243,243,1725436586697640946858688965569256363112777243042596638790570269171456
245,S,244,244,3450873173395281893717377931138512726225554486085193277581140538342912
246,S,245,245,6901746346790563787434755862277025452451108972170386555162281076685824
247,S,246,246,13803492693581127574869511724554050904902217944340773110324562153371648
248,M,247,16,13803492693581127574869511724554050904902217944340773110324562153374183
249,S,248,248,27606985387162255149739023449108101809804435888681546220649124306748366
250,S,249,249,55213970774324510299478046898216203619608871777363092441298248613496732
251,S,250,250,110427941548649020598956093796432407239217743554726184882596497226993464
252,M,251,18,110427941548649020598956093796432407239217743554726184882596497226997559
253,S,252,252,220855883097298041197912187592864814478435487109452369765192994453995118
254,S,253,253,441711766194596082395824375185729628956870974218904739530385988907990236
255,S,254,254,883423532389192164791648750371459257913741948437809479060771977815980472
256,S,255,255,1766847064778384329583297500742918515827483896875618958121543955631960944
257,S,256,256,3533694129556768659166595001485837031654967793751237916243087911263921888
258,S,257,257,7067388259113537318333190002971674063309935587502475832486175822527843776
259,S,258,258,14134776518227074636666380005943348126619871175004951664972351645055687552
260,M,259,13,14134776518227074636666380005943348126619871175004951664972351645055689115
261,S,260,260,28269553036454149273332760011886696253239742350009903329944703290111378230
262,S,261,261,56539106072908298546665520023773392506479484700019806659889406580222756460
263,S,262,262,113078212145816597093331040047546785012958969400039613319778813160445512920
264,S,263,263,226156424291633194186662080095093570025917938800079226639557626320891025840
265,S,264,264,452312848583266388373324160190187140051835877600158453279115252641782051680
266,S,265,265,904625697166532776746648320380374280103671755200316906558230505283564103360
267,M,266,15,904625697166532776746648320380374280103671755200316906558230505283564105307
268,S,267,267,1809251394333065553493296640760748560207343510400633813116461010567128210614
269,S,268,268,3618502788666131106986593281521497120414687020801267626232922021134256421228
270,S,269,269,7237005577332262213973186563042994240829374041602535252465844042268512842456
271,M,270,0,7237005577332262213973186563042994240829374041602535252465844042268512842457
272,S,271,271,14474011154664524427946373126085988481658748083205070504931688084537025684914
273,S,272,272,28948022309329048855892746252171976963317496166410141009863376169074051369828
274,S,273,273,57896044618658097711785492504343953926634992332820282019726752338148102739656
275,S,274,274,115792089237316195423570985008687907853269984665640564039453504676296205479312
276,S,275,275,231584178474632390847141970017375815706539969331281128078907009352592410958624
277,S,276,276,463168356949264781694283940034751631413079938662562256157814018705184821917248
278,S,277,277,926336713898529563388567880069503262826159877325124512315628037410369643834496
279,S,278,278,1852673427797059126777135760139006525652319754650249024631256074820739287668992
280,S,279,279,3705346855594118253554271520278013051304639509300498049262512149641478575337984
281,M,280,17,3705346855594118253554271520278013051304639509300498049262512149641478575340521
282,S,281,281,7410693711188236507108543040556026102609279018600996098525024299282957150681042
283,S,282,282,14821387422376473014217086081112052205218558037201992197050048598565914301362084
284,S,283,283,29642774844752946028434172162224104410437116074403984394100097197131828602724168
285,S,284,284,59285549689505892056868344324448208820874232148807968788200194394263657205448336
286,S,285,285,118571099379011784113736688648896417641748464297615937576400388788527314410896672
287,S,286,286,237142198758023568227473377297792835283496928595231875152800777577054628821793344
288,S,287,287,474284397516047136454946754595585670566993857190463750305601555154109257643586688
289,S,288,288,948568795032094272909893509191171341133987714380927500611203110308218515287173376
290,M,289,2,948568795032094272909893509191171341133987714380927500611203110308218515287173379
291,S,290,290,1897137590064188545819787018382342682267975428761855001222406220616437030574346758
292,S,291,291,3794275180128377091639574036764685364535950857523710002444812441232874061148693516
293,S,292,292,7588550360256754183279148073529370729071901715047420004889624882465748122297387032
294,M,293,18,7588550360256754183279148073529370729071901715047420004889624882465748122297391127
